X-coordinate,Y-coordinate
2516,1458
236,2256
3131,4138
2143,4206
1531,3668
5842,1617
4424,4071
7724,1510
4465,2621
3024,2846
5806,2062
2351,4877
7437,1885
2631,1788
3364,4291
4050,4555
577,2586
6131,7
4591,1933
5787,4964
7880,3606
613,2943
7735,333
429,4208
3648,683
7419,3488
351,2339
212,2910
1229,4829
4107,195
5098,12
6734,3621
6130,4424
286,1129
2191,950
1462,4515
6326,4758
3894,3586
7676,947
304,3364
5335,1845
1482,1512
7451,46
4439,2970
129,4749
6316,2520
4113,201
5314,2014
1507,3058
2912,281
1457,3010
4798,4297
6583,2841
6118,3657
1743,4564
2894,1544
7354,1950
1214,663
5245,2162
1235,4062
2281,1175
1184,4813
373,4880
1770,3549
1732,1904
416,4295
7564,3796
841,836
6414,1020
226,1523
4339,640
5381,1204
629,359
6118,5160
6332,2916
1343,1190
3744,4332
2950,918
5274,981
1457,2685
1903,3390
13,3217
5814,1388
3288,213
2259,3919
611,2942
596,3461
1265,1281
6110,942
6174,3260
3103,78
1625,1713
6944,1293
6177,3266
3224,3056
2970,4379
1503,4727
7846,534
3258,3130
3386,3331
48,4825
783,3091
7359,1866
1754,2743
7862,4462
4625,2035
1991,5287
2327,3615
506,4270
2785,629
6882,3119
4745,959
7837,4737
6169,3430
6522,1309
4988,5165
2343,4114
1453,4757
4828,783
4560,4878
1845,17
4608,3251
2994,4524
3012,732
6468,4101
4246,240
5501,5147
3233,1061
2912,5302
1645,3183
783,4075
781,2346
2709,2712
1667,4763
2381,4892
2493,3375
979,3679
7464,4089
220,5122
3257,570
7013,2017
239,4670
2071,3408
4608,5284
1774,3151
4244,5254
972,5103
7803,2216
2088,2074
3468,5138
3627,2795
5008,5234
7283,2882
1660,4162
2589,5316
4123,1618
1809,4603
5303,4658
6028,2991
1935,3496
2106,4918
3734,1813
1288,1985
161,93
1876,5096
2481,3648
5585,1420
6441,5241
2178,3381
3149,3401
1542,4146
5431,2500
331,2043
2439,4882
